# WARNCELLID;NAME;KURZNAME;KENNUNG (SIGN)
208439000;Bodensee - West;Bodensee-West;BWT
208440000;Bodensee - Ost;Bodensee-Ost;BST
209000001;Nordbayrische Seen;Nordbay. Seen;BNBS
209000002;Südbayrische Seen;Südbay. Seen;BSBS
209901000;Altmühlsee/Brombachsee/Igelsbachsee;Altmühlsee etc.;ALT
209902000;Rothsee;Rothsee;ROT
209903000;Forggensee;Forggensee;FOR
209904000;Starnberger See;Starnberger See;STB
209905000;Ammersee;Ammersee;LLA
209906000;Pilsen-/Wörthsee;Wörthsee;LLP
209908000;Walchensee;alchensee;TOW
209909000;Staffel-/Riegsee;Staffel-/Riegsee;STR
209910000;Tegernsee;Tegernsee;MBT
209911000;Schliersee;Schliersee;BSS
209912000;Simssee;Simssee;ROS
209913000;Chiemsee;Chiemsee;TSC
209914000;Waginger/Tachinger See;Wag./Tach. See;TSW
213010000;Müritz;Müritz;MUR
401000001;Engl. Kanal Westteil;;KWN
401000002;Engl. Kanal Ostteil;;KON
401000003;Südwestliche Nordsee;;SNN
401000004;Dogger;;DGN
401000005;Forties;;FON
401000006;Viking;;VIN
401000007;Ijsselmeer;;IJN
401000008;Deutsche Bucht;;DBN
401000009;Fischer;;FIN
401000010;Utsira;;UTN
401000011;Skagerrak;;SKN
401000012;Kattegat;;KAO
401000013;Belte und Sund;;BSO
401000014;Westliche Ostsee;;WOO
401000015;Boddengewässer Ost;;BOO
401000016;Südliche Ostsee;;SOO
401000017;Südöstliche Ostsee;;OOO
401000018;Zentrale Ostsee;;ZOO
401000019;Nördliche Ostsee;;NOO
401000020;Rigaischer Meerbusen;;RBO
501000001;Ostfriesische Küste;Ostfr. Küste;OSF
501000002;Helgoland;Seeg. Helgoland;HEL
501000003;Elbe-/Wesermündung;Elbemündung;ELM
501000004;Elbe von Hamburg bis Cuxhaven;Elbe (HH-CUX);ELB
501000005;Nordfriesische Küste;Nordfr. Küste;NOF
501000006;Flensburg bis Fehmarn;Flensb.-Fehmarn;FLF
501000007;östlich Fehmarn bis Rügen;östlich Fehmarn;FER
501000008;östlich Rügen;östlich Rügen;OSR
612069000;B2 Beelitz-DWD;B2 Beelitz-DWD;XPA
614728000;Obstland Dürrweitzschen/Grimma;Dürrw/Grimma;LLD
614729000;Obstland Liptitz-Grauschwitz;Liptitz-Grau.;XLB
711000001;Berlin - Mitte;B-Mitte;BXE
711000002;Berlin - Friedrichshain-Kreuzberg;B-Friedrh./Kbg.;BXB
711000003;Berlin - Pankow;B-Pankow;BXG
711000004;Berlin - Charlottenburg-Wilmersdorf;B-Chb/Wilmersd.;BXA
711000005;Berlin - Spandau;B-Spandau;BXI
711000006;Berlin - Steglitz-Zehlendorf;B-Stgl/Zehlend.;BXL
711000007;Berlin - Tempelhof-Schöneberg;B-Thf/Schönebg.;BXJ
711000008;Berlin - Neukölln;B-Neukölln;BXF
711000009;Berlin - Treptow-Köpenik;B-Treptow/Köp.;BXK
711000010;Berlin - Marzahn-Hellersdorf;B-Marz/Hellersd;BXD
711000011;Berlin - Lichtenberg;B-Lichtenberg;BXC
711000012;Berlin - Reinickendorf;B-Reinickend.;BXH
801001000;Stadt Flensburg;Flensburg;
801002000;Stadt Kiel;Kiel;
801003000;Stadt Lübeck;Lübeck;
801004000;Stadt Neumünster;Neumünster;
801051001;Gemeinde Albersdorf;Albersdorf;
801051002;Gemeinde Arkebek;Arkebek;
801051003;Gemeinde Averlak;Averlak;
801051004;Gemeinde Bargenstedt;Bargenstedt;
801051005;Gemeinde Barkenholm;Barkenholm;
801051006;Gemeinde Barlt;Barlt;
801051008;Gemeinde Bergewöhrden;Bergewöhrden;
801051010;Gemeinde Brickeln;Brickeln;
801051011;Stadt Brunsbüttel;Brunsbüttel;
801051012;Gemeinde Buchholz;Buchholz (HEI);
801051013;Gemeinde Büsum;Büsum;
801051014;Gemeinde Büsumer Deichhausen;Büsumer Deichh.;
801051015;Gemeinde Bunsoh;Bunsoh;
